player_dismissed,wicket_taker,max_dismissed
"AA Jhunjhunwala","Harmeet Singh",1
"AA Jhunjhunwala","DE Bollinger",1
"AA Jhunjhunwala","MF Maharoof",1
"AA Jhunjhunwala","T Thushara",1
"AA Jhunjhunwala","I Sharma",1
"AA Jhunjhunwala","JH Kallis",1
"AA Jhunjhunwala","SL Malinga",1
"P Dogra","M Kartik",1
"P Dogra","S Ladda",1
"P Dogra","T Thushara",1
"P Dogra","IK Pathan",1
"P Dogra","I Sharma",1
"P Dogra","P Kumar",1
"P Dogra","A Mishra",1
"P Dogra","SL Malinga",1
"A Uniyal","SL Malinga",1
"MS Bisla","A Mishra",2
"MS Bisla","SK Warne",2
"MS Bisla","JA Morkel",2
"JM Kemp","DP Nannes",1
"JM Kemp","PP Ojha",1
"OA Shah","Z Khan",2
"RS Gavaskar","JM Kemp",1
"SE Bond","R Ashwin",1
"DP Nannes","Harbhajan Singh",1
"MJ Lumb","JA Morkel",2
"DR Martyn","P Kumar",1
"S Narwal","PD Collingwood",1
"S Narwal","P Kumar",1
"AB Barath","JP Duminy",1
"AB Barath","PP Ojha",1
"FY Fazal","Iqbal Abdulla",1
"FY Fazal","AB Dinda",1
"FY Fazal","Harbhajan Singh",1
"FY Fazal","PP Ojha",1
"FY Fazal","M Muralitharan",1
"FY Fazal","MF Maharoof",1
"FY Fazal","SB Jakati",1
"FY Fazal","IK Pathan",1
"FY Fazal","SE Bond",1
"MD Mishra","P Kumar",2
"S Ladda","WPUJC Vaas",1
"J Theron","SW Tait",1
"J Theron","L Balaji",1
"SJ Srivastava","SW Tait",1
"R Sharma","MM Patel",2
"AC Voges","AB Dinda",1
"AC Voges","Z Khan",1
"AC Voges","A Mishra",1
"AC Voges","JA Morkel",1
"Jaskaran Singh","Harbhajan Singh",1
"KAJ Roach","Z Khan",1
"PD Collingwood","KA Pollard",1
"PD Collingwood","PP Chawla",1
"PD Collingwood","BAW Mendis",1
"PD Collingwood","S Narwal",1
"PD Collingwood","CK Langeveldt",1
"CK Langeveldt","AB McDonald",1
"VS Malik","Z Khan",1
"SW Tait","Shakib Al Hasan",1
"SW Tait","V Sehwag",1
"A Mithun","M Morkel",1
"A Mithun","A Mishra",1
"AP Dole","Harbhajan Singh",1
"AP Dole","RJ Harris",1
"Harmeet Singh","M Muralitharan",1
"Harmeet Singh","SK Trivedi",1
"R McLaren","S Aravind",1
"R McLaren","SW Tait",1
"R McLaren","KP Pietersen",1
"R McLaren","L Ablish",1
"R McLaren","R Ashwin",1
"S Sriram","AB Dinda",1
"KP Appanna","RJ Harris",1
"C Madan","AB McDonald",1
"AG Paunikar","Iqbal Abdulla",1
"AG Paunikar","Shakib Al Hasan",1
"AG Paunikar","AB Dinda",1
"AG Paunikar","DW Steyn",1
"AG Paunikar","R Vinay Kumar",1
"MR Marsh","DE Bollinger",1
"MR Marsh","A Nehra",1
"MR Marsh","Yuvraj Singh",1
"B Sumanth","DE Bollinger",1
"RV Gomez","S Aravind",1
"RV Gomez","I Sharma",1
"RV Gomez","SK Trivedi",1
"RV Gomez","DP Nannes",1
"UT Yadav","Harbhajan Singh",1
"DJ Jacobs","Bipul Sharma",1
"DJ Jacobs","A Singh",1
"DJ Jacobs","I Sharma",1
"DJ Jacobs","RV Gomez",1
"DJ Jacobs","DP Nannes",1
"DJ Jacobs","M Morkel",1
"Sunny Singh","DL Vettori",1
"Sunny Singh","AB Agarkar",1
"Sunny Singh","S Randiv",1
"Sunny Singh","M Kartik",1
"AL Menaria","R Ashwin",2
"AL Menaria","YK Pathan",2
"AUK Pathan","RJ Harris",1
"AUK Pathan","TG Southee",1
"AUK Pathan","SL Malinga",1
"JJ van der Wath","DW Steyn",1
"R Ninan","DT Christian",1
"MS Wade","A Mithun",1
"MS Wade","R Sharma",1
"TD Paine","S Aravind",1
"TD Paine","MM Patel",1
"SB Wagh","KA Pollard",1
"SB Wagh","SL Malinga",1
"JEC Franklin","SB Wagh",1
"S Randiv","SL Malinga",1
"BJ Haddin","J Syed Mohammad",1
"JE Taylor","DE Bollinger",1
"NL McCullum","DE Bollinger",1
"RN ten Doeschate","M Morkel",1
"TR Birt","DT Christian",1
"TR Birt","R Vinay Kumar",1
"TR Birt","RR Powar",1
"TR Birt","YK Pathan",1
"M Klinger","CH Gayle",1
"M Klinger","YK Pathan",1
"M Klinger","RE van der Merwe",1
"M Klinger","M Morkel",1
"Harpreet Singh","SR Watson",1
"AC Blizzard","P Kumar",1
"AC Blizzard","S Nadeem",1
"AC Blizzard","AC Thomas",1
"CA Ingram","R Ashwin",1
"CA Ingram","SL Malinga",1
"DA Warner","UT Yadav",3
"DA Warner","Sandeep Sharma",3
"DA Warner","BW Hilfenhaus",3
"S Dhawan","JP Faulkner",4
"MC Henriques","Sandeep Sharma",2
"MC Henriques","SR Watson",2
"Mandeep Singh","MM Sharma",3
"KM Jadhav","HV Patel",2
"KM Jadhav","JA Morkel",2
"TM Head","Sandeep Sharma",1
"TM Head","JJ Bumrah",1
"Sachin Baby","DS Kulkarni",1
"Sachin Baby","Sandeep Sharma",1
"Sachin Baby","AD Russell",1
"Sachin Baby","A Nehra",1
"Sachin Baby","A Mishra",1
"STR Binny","Imran Tahir",2
"STR Binny","RA Jadeja",2
"STR Binny","MG Johnson",2
"STR Binny","R Vinay Kumar",2
"STR Binny","Yuvraj Singh",2
"STR Binny","UT Yadav",2
"STR Binny","KA Pollard",2
"PA Patel","B Kumar",5
"AT Rayudu","MM Sharma",5
"KH Pandya","DR Smith",1
"KH Pandya","CH Morris",1
"KH Pandya","MP Stoinis",1
"KH Pandya","BB Sran",1
"KH Pandya","SP Narine",1
"KH Pandya","Z Khan",1
"N Rana","DJ Bravo",1
"N Rana","MP Stoinis",1
"N Rana","YS Chahal",1
"KA Pollard","MM Sharma",3
"KA Pollard","DJ Bravo",3
"TG Southee","MM Sharma",1
"TG Southee","Mustafizur Rahman",1
"TG Southee","DJ Bravo",1
"TG Southee","R Vinay Kumar",1
"TG Southee","RA Jadeja",1
"AM Rahane","B Kumar",6
"AJ Finch","MG Johnson",3
"SPD Smith","RA Jadeja",4
"M Vohra","IC Pandey",2
"M Vohra","M Morkel",2
"M Vohra","Imran Tahir",2
"M Vohra","A Mishra",2
"M Vohra","L Balaji",2
"M Vohra","RA Jadeja",2
"WP Saha","M Morkel",3
"AR Patel","SP Narine",3
"P Negi","MA Starc",2
"P Negi","GB Hogg",2
"AP Tare","Shakib Al Hasan",2
"AP Tare","JA Morkel",2
"AP Tare","Sandeep Sharma",2
"AP Tare","KK Cooper",2
"SW Billings","CJ Jordan",1
"SW Billings","MP Stoinis",1
"SW Billings","R Bhatia",1
"SW Billings","UT Yadav",1
"CH Morris","UT Yadav",2
"CR Brathwaite","CH Gayle",1
"CR Brathwaite","Mustafizur Rahman",1
"CR Brathwaite","Sandeep Sharma",1
"CR Brathwaite","SM Boland",1
"CR Brathwaite","AD Russell",1
"CR Brathwaite","PP Chawla",1
"PJ Cummins","DJ Bravo",1
"DR Smith","Harbhajan Singh",4
"DS Kulkarni","CJ Jordan",2
"SA Yadav","JP Faulkner",2
"SP Narine","MG Johnson",2
"F du Plessis","SL Malinga",4
"R Bhatia","MM Sharma",2
"A Zampa","A Nehra",1
"DJ Hooda","DJ Bravo",2
"DJ Hooda","SL Malinga",2
"BCJ Cutting","S Kaushik",1
"BCJ Cutting","Kuldeep Yadav",1
"BCJ Cutting","R Shukla",1
"MP Stoinis","Z Khan",1
"MP Stoinis","AD Russell",1
"MP Stoinis","RA Jadeja",1
"MP Stoinis","DJ Bravo",1
"DA Miller","SL Malinga",3
"DA Miller","YS Chahal",3
"MM Sharma","MA Starc",2
"VR Aaron","B Kumar",1
"VR Aaron","R Ashwin",1
"VR Aaron","SP Narine",1
"MJ McClenaghan","Sandeep Sharma",1
"MJ McClenaghan","Mustafizur Rahman",1
"MJ McClenaghan","Kuldeep Yadav",1
"MJ McClenaghan","Imran Tahir",1
"Ankit Sharma","DJ Bravo",1
"Ankit Sharma","S Gopal",1
"Ankit Sharma","R Ashwin",1
"Ankit Sharma","L Balaji",1
"Ankit Sharma","KA Pollard",1
"Ankit Sharma","DE Bollinger",1
"MK Tiwary","M Morkel",4
"EJG Morgan","MR Marsh",2
"EJG Morgan","Azhar Mahmood",2
"KC Cariappa","P Kumar",1
"Harbhajan Singh","DJ Bravo",4
"HH Pandya","Mustafizur Rahman",2
"AD Nath","YS Chahal",1
"AD Nath","B Kumar",1
"AD Nath","MJ McClenaghan",1
"NM Coulter-Nile","DS Kulkarni",1
"NM Coulter-Nile","D Wiese",1
"NM Coulter-Nile","UT Yadav",1
"NM Coulter-Nile","R Ashwin",1
"NM Coulter-Nile","Azhar Mahmood",1
"KV Sharma","NM Coulter-Nile",2
"KV Sharma","DJ Bravo",2
"Anureet Singh","MA Starc",1
"Anureet Singh","P Kumar",1
"Anureet Singh","MM Sharma",1
"IK Pathan","SP Narine",3
"JP Faulkner","Sandeep Sharma",2
"JP Faulkner","B Kumar",2
"JJ Bumrah","BB Sran",1
"Mohammed Shami","AR Patel",1
"Mohammed Shami","R Ashwin",1
"Mohammed Shami","KK Cooper",1
"Bipul Sharma","CJ Jordan",1
"Bipul Sharma","AB Dinda",1
"Bipul Sharma","PP Chawla",1
"Bipul Sharma","DJ Bravo",1
"Bipul Sharma","SP Narine",1
"Bipul Sharma","AA Chavan",1
"B Kumar","RP Singh",2
"LMP Simmons","RA Jadeja",2
"LMP Simmons","Ankit Sharma",2
"LMP Simmons","R Ashwin",2
"MN Samuels","P Awana",1
"MN Samuels","NLTC Perera",1
"MN Samuels","A Ashish Reddy",1
"MN Samuels","R Ashwin",1
"MN Samuels","Z Khan",1
"MN Samuels","VY Mahesh",1
"MN Samuels","AD Mascarenhas",1
"MN Samuels","Harmeet Singh",1
"MN Samuels","SL Malinga",1
"Swapnil Singh","AD Russell",1
"SS Tiwary","AB Dinda",2
"R Tewatia","AR Patel",1
"A Mishra","JP Faulkner",2
"A Mishra","SL Malinga",2
"CJ Jordan","B Kumar",1
"IR Jaggi","Harbhajan Singh",1
"IR Jaggi","SP Narine",1
"PP Chawla","NLTC Perera",3
"RT Ponting","A Chandila",1
"RT Ponting","Yuvraj Singh",1
"RT Ponting","IK Pathan",1
"RT Ponting","AS Rajpoot",1
"RT Ponting","M Kartik",1
"CL White","P Parameswaran",2
"CL White","MN Samuels",2
"JR Hopes","PP Chawla",1
"M Rawat","JH Kallis",1
"V Sehwag","Z Khan",3
"PR Shah","BJ Hodge",1
"AM Nayar","M Kartik",2
"B Lee","S Sreesanth",1
"B Lee","KK Cooper",1
"B Lee","RE van der Merwe",1
"MEK Hussey","SP Narine",4
"S Sreesanth","R Vinay Kumar",1
"B Chipli","AG Murtaza",1
"B Chipli","JEC Franklin",1
"B Chipli","MM Patel",1
"B Chipli","RA Jadeja",1
"B Chipli","DS Kulkarni",1
"DW Steyn","JP Faulkner",2
"DW Steyn","SL Malinga",2
"BJ Hodge","R Vinay Kumar",2
"YV Takawale","R Ashwin",1
"YV Takawale","SP Narine",1
"YV Takawale","MG Johnson",1
"YV Takawale","STR Binny",1
"YV Takawale","JH Kallis",1
"M Muralitharan","A Ashish Reddy",1
"M Muralitharan","A Singh",1
"S Anirudha","Shakib Al Hasan",1
"S Anirudha","B Kumar",1
"SK Trivedi","R Rampaul",1
"SP Goswami","MM Patel",2
"AD Mascarenhas","R Bhatia",2
"SD Chitnis","AD Russell",1
"SD Chitnis","BW Hilfenhaus",1
"SD Chitnis","DW Steyn",1
"A Nehra","SL Malinga",1
"A Nehra","DJ Bravo",1
"A Nehra","NLTC Perera",1
"A Nehra","KA Pollard",1
"A Nehra","SP Narine",1
"MS Gony","JP Faulkner",1
"MS Gony","Harbhajan Singh",1
"MS Gony","A Mishra",1
"MS Gony","JH Kallis",1
"MS Gony","RA Jadeja",1
"L Balaji","SP Narine",1
"L Balaji","SL Malinga",1
"LA Pomersbach","RE van der Merwe",1
"LA Pomersbach","MM Sharma",1
"LA Pomersbach","SB Jakati",1
"LA Pomersbach","MM Patel",1
"LA Pomersbach","DE Bollinger",1
"LA Pomersbach","JH Kallis",1
"A Mukund","SK Trivedi",1
"JP Duminy","IC Pandey",2
"JD Ryder","P Kumar",2
"JD Ryder","YK Pathan",2
"PC Valthaty","AB Dinda",2
"BAW Mendis","CH Gayle",1
"DL Vettori","SK Trivedi",1
"DL Vettori","DE Bollinger",1
"DL Vettori","L Balaji",1
"DL Vettori","GJ Maxwell",1
"DL Vettori","R Ashwin",1
"RE van der Merwe","R Ashwin",1
"RE van der Merwe","P Awana",1
"M Vijay","S Aravind",4
"M Morkel","SP Narine",2
"SL Malinga","DJ Bravo",2
"SL Malinga","JP Faulkner",2
"SL Malinga","WD Parnell",2
"J Botha","Anand Rajan",2
"A Singh","KA Pollard",1
"GJ Bailey","MC Henriques",3
"AB McDonald","S Nadeem",1
"AB McDonald","Azhar Mahmood",1
"AB McDonald","M Morkel",1
"R Ashwin","SL Malinga",3
"CA Pujara","M Morkel",2
"R Sathish","DJ Bravo",2
"AA Jhunjhunwala","P Kumar",1
"AA Jhunjhunwala","M Morkel",1
"P Dogra","DW Steyn",1
"P Dogra","SP Narine",1
"P Dogra","R Bhatia",1
"MS Bisla","A Nehra",2
"MS Bisla","PP Ojha",2
"MS Bisla","PP Chawla",2
"OA Shah","UT Yadav",2
"S Narwal","UT Yadav",1
"FY Fazal","RP Singh",1
"CK Langeveldt","SJ Srivastava",1
"SW Tait","RP Singh",1
"A Mithun","SP Narine",1
"A Mithun","DJ Bravo",1
"A Mithun","RJ Harris",1
"Harmeet Singh","DJG Sammy",1
"Harmeet Singh","SP Narine",1
"R McLaren","SL Malinga",1
"R McLaren","RP Singh",1
"R McLaren","A Mishra",1
"S Sriram","PP Chawla",1
"MR Marsh","RA Jadeja",1
"MR Marsh","R Bhatia",1
"MR Marsh","R Vinay Kumar",1
"MR Marsh","DW Steyn",1
"MR Marsh","DJ Bravo",1
"MR Marsh","MG Johnson",1
"MR Marsh","RJ Harris",1
"MR Marsh","NLTC Perera",1
"MR Marsh","PP Ojha",1
"RV Gomez","RJ Harris",1
"UBT Chand","MM Sharma",2
"UBT Chand","P Kumar",2
"UBT Chand","B Lee",2
"UT Yadav","Z Khan",1
"UT Yadav","A Nehra",1
"UT Yadav","MG Johnson",1
"UT Yadav","DJ Bravo",1
"UT Yadav","R Ashwin",1
"UT Yadav","P Parameswaran",1
"DJ Jacobs","S Nadeem",1
"AL Menaria","PP Chawla",2
"AUK Pathan","A Mishra",1
"AUK Pathan","PC Valthaty",1
"WD Parnell","SP Narine",2
"JJ van der Wath","PP Chawla",1
"MS Wade","MR Marsh",1
"JEC Franklin","DJ Bravo",1
"JEC Franklin","R Vinay Kumar",1
"JEC Franklin","BW Hilfenhaus",1
"JEC Franklin","B Kumar",1
"JEC Franklin","A Ashish Reddy",1
"JEC Franklin","Azhar Mahmood",1
"JEC Franklin","P Kumar",1
"JEC Franklin","A Singh",1
"JEC Franklin","AB Dinda",1
"JEC Franklin","Z Khan",1
"Shakib Al Hasan","SL Malinga",3
"NLTC Perera","SR Watson",2
"NLTC Perera","A Nehra",2
"RN ten Doeschate","MC Henriques",1
"RN ten Doeschate","MA Starc",1
"RN ten Doeschate","Sandeep Sharma",1
"RN ten Doeschate","Karanveer Singh",1
"RN ten Doeschate","MG Johnson",1
"RN ten Doeschate","KV Sharma",1
"RN ten Doeschate","PV Tambe",1
"RN ten Doeschate","A Mishra",1
"RN ten Doeschate","RV Gomez",1
"RN ten Doeschate","B Kumar",1
"RN ten Doeschate","Harmeet Singh",1
"RN ten Doeschate","M Muralitharan",1
"RN ten Doeschate","AN Ahmed",1
"TR Birt","P Kumar",1
"Harpreet Singh","SP Narine",1
"AC Blizzard","IK Pathan",1
"AC Blizzard","S Aravind",1
"AC Blizzard","B Lee",1
"AC Blizzard","JP Duminy",1
"DH Yagnik","Harbhajan Singh",2
"KB Arun Karthik","Harbhajan Singh",1
"KB Arun Karthik","M Morkel",1
"KB Arun Karthik","NLTC Perera",1
"KB Arun Karthik","PP Chawla",1
"KB Arun Karthik","Iqbal Abdulla",1
"AA Chavan","KA Pollard",1
"AA Chavan","BJ Hodge",1
"ND Doshi","P Parameswaran",1
"CJ Ferguson","R Bhatia",1
"CJ Ferguson","J Botha",1
"CJ Ferguson","Harmeet Singh",1
"CJ Ferguson","KA Pollard",1
"CJ Ferguson","Shakib Al Hasan",1
"CJ Ferguson","JP Duminy",1
"Y Gnaneswara Rao","DJ Bravo",1
"S Rana","DJ Hussey",1
"S Rana","AR Patel",1
"S Rana","SR Watson",1
"S Rana","L Balaji",1
"BA Bhatt","Anand Rajan",1
"DE Bollinger","SL Malinga",1
"RE Levi","DW Steyn",2
"HV Patel","A Nehra",2
"DJ Harris","DJ Hussey",1
"DJ Harris","J Syed Mohammad",1
"DJ Harris","M Morkel",1
"DJ Harris","DE Bollinger",1
"KK Cooper","AR Patel",1
"KK Cooper","Harbhajan Singh",1
"KK Cooper","JP Duminy",1
"KK Cooper","KA Pollard",1
"KK Cooper","DW Steyn",1
"KK Cooper","SP Narine",1
"KK Cooper","A Nehra",1
"KK Cooper","Z Khan",1
"KK Cooper","MM Patel",1
"GB Hogg","Anureet Singh",1
"GB Hogg","HV Patel",1
"GB Hogg","MM Patel",1
"RR Bhatkal","DE Bollinger",1
"CJ McKay","IK Pathan",1
"N Saini","DJ Bravo",1
"N Saini","UT Yadav",1
"N Saini","DT Christian",1
"N Saini","A Ashish Reddy",1
"N Saini","SW Tait",1
"N Saini","AB McDonald",1
"N Saini","KMDN Kulasekara",1
"N Saini","CJ McKay",1
"N Saini","PP Ojha",1
"N Saini","Z Khan",1
"Azhar Mahmood","SP Narine",2
"Azhar Mahmood","A Mishra",2
"AC Thomas","R Vinay Kumar",1
"AC Thomas","MS Gony",1
"RJ Peterson","DJ Bravo",1
"RJ Peterson","A Nehra",1
"RJ Peterson","M Morkel",1
"A Ashish Reddy","R Vinay Kumar",2
"V Pratap Singh","SL Malinga",1
"MJ Clarke","YK Pathan",1
"MJ Clarke","R Vinay Kumar",1
"MJ Clarke","STR Binny",1
"MJ Clarke","M de Lange",1
"MJ Clarke","Harbhajan Singh",1
"MJ Clarke","V Pratap Singh",1
"Gurkeerat Singh","R Ashwin",2
"Gurkeerat Singh","AD Russell",2
"Gurkeerat Singh","DJ Bravo",2
"AP Majumdar","Shakib Al Hasan",1
"AP Majumdar","A Chandila",1
"AP Majumdar","HV Patel",1
"AP Majumdar","J Botha",1
"PA Reddy","RP Singh",1
"PA Reddy","MG Johnson",1
"PA Reddy","A Chandila",1
"PA Reddy","MS Gony",1
"PA Reddy","S Kaul",1
"PA Reddy","M Muralitharan",1
"PA Reddy","Yuvraj Singh",1
"PA Reddy","R Vinay Kumar",1
"PA Reddy","SK Trivedi",1
"PA Reddy","PP Chawla",1
"AD Russell","Sandeep Sharma",1
"AD Russell","YS Chahal",1
"AD Russell","A Mishra",1
"AD Russell","TG Southee",1
"AD Russell","NLTC Perera",1
"AD Russell","Mustafizur Rahman",1
"AD Russell","MJ McClenaghan",1
"AD Russell","CH Morris",1
"AD Russell","SL Malinga",1
"AD Russell","AR Patel",1
"AD Russell","Bipul Sharma",1
"AD Russell","HV Patel",1
"AD Russell","A Nehra",1
"AD Russell","Imran Tahir",1
"AD Russell","RS Bopara",1
"AD Russell","MG Johnson",1
"AD Russell","SR Watson",1
"AD Russell","MM Sharma",1
"AD Russell","KK Cooper",1
"AD Russell","SP Narine",1
"AD Russell","R Ashwin",1
"AD Russell","P Parameswaran",1
"Sunny Gupta","SB Jakati",1
"MC Juneja","Harmeet Singh",1
"MC Juneja","MM Sharma",1
"MC Juneja","JD Unadkat",1
"MC Juneja","A Mishra",1
"MC Juneja","SL Malinga",1
"MC Juneja","KK Cooper",1
"MC Juneja","L Balaji",1
"GH Vihari","SL Malinga",2
"GH Vihari","PP Chawla",2
"GH Vihari","B Kumar",2
"MDKJ Perera","B Kumar",1
"MDKJ Perera","UT Yadav",1
"B Laughlin","KA Pollard",1
"BMAJ Mendis","DJG Sammy",1
"BMAJ Mendis","RA Jadeja",1
"BMAJ Mendis","KA Pollard",1
"R Rampaul","PV Tambe",1
"R Rampaul","SP Narine",1
"R Rampaul","SR Watson",1
"R Rampaul","AB Dinda",1
"R Rampaul","DJ Bravo",1
"P Awana","DJG Sammy",1
"P Awana","JP Faulkner",1
"SMSM Senanayake","P Kumar",1
"BJ Rohrer","AB Dinda",1
"BJ Rohrer","JA Morkel",1
"BJ Rohrer","R Vinay Kumar",1
"BJ Rohrer","AM Nayar",1
"BJ Rohrer","PP Chawla",1
"BJ Rohrer","R Rampaul",1
"BJ Rohrer","JD Unadkat",1
"KL Rahul","DS Kulkarni",3
"J Syed Mohammad","DR Smith",1
"J Syed Mohammad","UT Yadav",1
"Q de Kock","AD Russell",2
"Q de Kock","YS Chahal",2
"Q de Kock","KV Sharma",2
"Q de Kock","MM Sharma",2
"Q de Kock","AB Dinda",2
"BB Samantray","JP Faulkner",2
"R Dhawan","B Kumar",1
"R Dhawan","SL Malinga",1
"R Dhawan","Shakib Al Hasan",1
"R Dhawan","PP Chawla",1
"R Dhawan","CH Morris",1
"R Dhawan","Azhar Mahmood",1
"R Dhawan","STR Binny",1
"MG Johnson","JP Faulkner",3
"LJ Wright","S Kaul",1
"LJ Wright","JA Morkel",1
"LJ Wright","UT Yadav",1
"LJ Wright","JD Unadkat",1
"LJ Wright","Azhar Mahmood",1
"AG Murtaza","CH Gayle",1
"IC Pandey","CH Gayle",1
"X Thalaivan Sargunam","DJ Bravo",1
"DJG Sammy","Shakib Al Hasan",2
"DJG Sammy","JP Faulkner",2
"KW Richardson","B Kumar",1
"KW Richardson","MG Johnson",1
"KW Richardson","CH Morris",1
"CM Gautam","A Nehra",1
"CM Gautam","M Morkel",1
"CM Gautam","B Kumar",1
"CM Gautam","S Badree",1
"CM Gautam","VR Aaron",1
"CM Gautam","R Dhawan",1
"CM Gautam","Mohammed Shami",1
"CM Gautam","PP Chawla",1
"CM Gautam","AD Mathews",1
"CM Gautam","SR Watson",1
"UA Birla","Iqbal Abdulla",1
"Parvez Rasool","B Kumar",1
"Parvez Rasool","L Balaji",1
"NJ Maddinson","IC Pandey",1
"NJ Maddinson","SL Malinga",1
"NJ Maddinson","Mohammed Shami",1
"JDS Neesham","Karanveer Singh",1
"JDS Neesham","RA Jadeja",1
"JDS Neesham","PP Chawla",1
"PV Tambe","IK Pathan",1
"PV Tambe","R Ashwin",1
"MA Starc","MM Sharma",1
"MA Starc","DW Steyn",1
"MA Starc","L Balaji",1
"MA Starc","SL Malinga",1
"MA Starc","IK Pathan",1
"MA Starc","MG Johnson",1
"MA Starc","R Bhatia",1
"BR Dunk","HV Patel",1
"BR Dunk","Sandeep Sharma",1
"BR Dunk","DJG Sammy",1
"RR Rossouw","A Nehra",2
"Shivam Sharma","MA Starc",1
"VH Zol","MM Sharma",1
"VH Zol","R Tewatia",1
"Imran Tahir","MJ McClenaghan",1
"Imran Tahir","DJ Bravo",1
"Imran Tahir","AR Patel",1
"Imran Tahir","STR Binny",1
"R Shukla","KK Cooper",1
"BE Hendricks","JJ Bumrah",1
"M de Lange","Imran Tahir",1
"S Gopal","M Ashwin",1
"S Gopal","WD Parnell",1
"JO Holder","B Kumar",1
"JO Holder","Mustafizur Rahman",1
"JO Holder","DJ Bravo",1
"JO Holder","CH Morris",1
"JO Holder","R Vinay Kumar",1
"JD Unadkat","MG Johnson",1
"SA Abbott","TA Boult",1
"SA Abbott","Shakib Al Hasan",1
"AN Ahmed","B Kumar",1
"Iqbal Abdulla","DJ Bravo",1
"Iqbal Abdulla","KA Pollard",1
"SN Khan","JJ Bumrah",1
"SN Khan","Mohammed Shami",1
"SN Khan","DJ Bravo",1
"SN Khan","Anureet Singh",1
"SN Khan","A Nehra",1
"SN Khan","RA Jadeja",1
"D Wiese","DJ Bravo",2
"DJ Muthuswami","D Wiese",1
"Karanveer Singh","MA Starc",1
"Sandeep Sharma","YS Chahal",1
"J Suchith","YS Chahal",1
"C Munro","MC Henriques",1
"C Munro","DJ Hooda",1
"C Munro","JJ Bumrah",1
"P Sahu","UT Yadav",1
"M Ashwin","KW Richardson",1
"NS Naik","JJ Bumrah",1
"NS Naik","Mustafizur Rahman",1
"PSP Handscomb","Harbhajan Singh",1
"J Yadav","SR Watson",1
"J Yadav","R Ashwin",1
"UT Khawaja","Gurkeerat Singh",1
"UT Khawaja","CH Morris",1
"UT Khawaja","Shakib Al Hasan",1
"UT Khawaja","A Nehra",1
"UT Khawaja","CJ Jordan",1
"UT Khawaja","A Mishra",1
"S Kaushik","Sachin Baby",1
"F Behardien","AB Dinda",1
"F Behardien","YS Chahal",1
"KJ Abbott","YS Chahal",1
"ER Dwivedi","B Kumar",1
"ER Dwivedi","SR Watson",1
